login	cancer-data	cognoma	cognoma.github.io	cognoml	core-service	figshare	frontend	genes	infrastructure	machine-learning	ml-workers	sandbox	task-service	uiux
BobMiller	0	0	0	0	0	0	2	0	0	0	0	0	0	0
George-Zipperlen	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Inquisitive-Geek	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KT12	0	0	0	0	0	0	0	0	0	4	0	0	0	0
abeedvisram	0	0	0	0	2	0	0	0	0	0	0	0	0	0
aelkner	0	0	0	0	3	0	0	0	0	0	0	0	2	0
amrox	0	0	0	0	1	0	0	0	0	0	0	0	0	0
arielsvn	0	0	0	0	0	0	1	0	0	0	0	0	0	0
autokad	0	0	0	0	0	0	0	0	0	0	0	1	0	0
awm33	0	1	0	0	29	0	0	0	0	0	3	0	9	0
bdolly	0	0	0	0	0	0	147	0	0	0	0	0	0	2
beelzebud	0	0	0	0	0	0	0	0	0	2	0	0	0	0
brankaj	0	0	0	0	0	0	0	0	0	2	0	0	0	0
cgreene	0	4	2	0	3	0	7	0	0	0	0	1	0	0
clairemcleod	2	0	0	0	0	0	0	0	0	0	0	1	0	0
dcgoss	0	0	0	0	14	0	12	0	0	0	25	0	3	0
dhimmel	21	61	1	8	5	2	1	11	2	27	1	4	1	1
gwaygenomics	0	0	0	0	0	0	1	0	0	3	0	9	0	0
hhummel	0	0	0	0	0	0	0	0	0	0	0	1	0	0
htcai	0	0	0	0	0	0	0	0	0	4	0	1	0	0
jessept	0	0	0	4	0	0	0	0	0	0	0	0	0	0
joshlevy89	0	0	0	0	0	0	0	0	0	1	0	0	0	0
keenleo	0	0	0	0	0	0	3	0	0	0	0	0	0	0
kurtwheeler	0	0	0	0	1	0	1	0	16	0	0	0	0	0
mans2singh	0	0	0	0	0	0	0	0	0	2	0	0	0	0
marz0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mjumbewu	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ncondo	0	0	0	0	0	0	0	0	0	0	0	1	0	0
patrick-miller	0	0	0	0	0	0	0	0	0	7	2	1	0	0
pezfish	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ramjac	0	0	0	0	0	0	0	0	0	0	0	1	0	0
rdvelazquez	0	1	0	1	0	0	3	0	0	8	0	1	0	0
seignour	0	0	0	0	0	0	0	0	0	1	0	1	0	0
stephenshank	1	0	1	0	2	0	0	0	0	0	0	1	0	0
stevmoli	0	0	0	0	0	0	0	0	0	0	0	1	0	0
superkostya	0	0	0	0	0	0	0	0	0	1	0	0	0	0
thinkian	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tkhunkhe	0	0	0	0	0	0	0	0	0	0	0	1	0	0
txnnxr	0	0	0	0	0	0	7	0	0	0	0	0	0	0
vasudevanv	0	0	0	6	0	6	0	0	0	0	0	0	0	0
vetukuri	0	0	0	0	0	0	0	0	0	0	0	1	0	0
wisygig	0	0	0	1	0	1	0	0	0	0	0	0	0	0
yigalron	0	0	0	0	0	0	0	0	0	1	0	1	0	0
yl565	0	0	0	1	0	0	0	0	0	3	0	1	0	0
