login	contributions	maintainer
bdolly	149	1
dhimmel	142	1
dcgoss	54	1
awm33	42	1
kurtwheeler	18	1
cgreene	16	1
rdvelazquez	13	1
patrick-miller	9	1
gwaygenomics	4	1
jessept	4	1
yl565	4	1
clairemcleod	2	1
KarinSpiderwoman	0	1
vasudevanv	12	0
txnnxr	7	0
aelkner	5	0
KT12	4	0
htcai	4	0
stephenshank	4	0
keenleo	3	0
BobMiller	2	0
abeedvisram	2	0
beelzebud	2	0
brankaj	2	0
mans2singh	2	0
wisygig	2	0
George-Zipperlen	1	0
amrox	1	0
arielsvn	1	0
joshlevy89	1	0
marz0	1	0
mjumbewu	1	0
pezfish	1	0
seignour	1	0
superkostya	1	0
thinkian	1	0
yigalron	1	0
